favorite_count,retweet_count,tweet_id
36784,7845,-422076416
31670,5805,1578610688
23859,3844,1297526784
40105,8003,-2145996799
38305,8652,-1609211904
19270,2883,555134976
11235,1899,1716998144
62017,17509,265568256
26510,3976,-2658303
30351,6813,1536610304
29213,6800,-1911160832
26517,4632,492220418
45745,9295,-719933440
25754,4171,1473753094
14392,2094,-178860031
23970,4960,-1785278459
27712,4186,-1013694464
24330,3954,-304783360
18826,3246,-392941567
20712,3213,-1634291712
28741,4987,383221761
44071,10901,-1692962815
65540,16727,-619446271
32034,9708,-149458941
29121,5526,-1365983232
33322,7124,-1030250496
11436,2996,-1051234304
21367,4143,1020657664
20126,2944,1947516928
26630,5856,1846816769
31037,6257,1704316928
34225,5930,735543296
0,17213,-1445580800
20848,4070,-631787519
73500,16816,-1554542592
26509,5191,-1781035008
23123,4361,1205293057
25746,5275,-1676234752
19413,2773,-1126772731
20797,3204,1527808
43686,9191,-698920960
21582,3441,1469554688
35333,6166,-120139775
22743,3622,-1969790976
26925,4550,1909960704
26612,5629,2111176704
42735,10775,-740896768
27902,4555,1570111489
23159,3159,1868001280
48224,9917,114688001
47052,14832,-1441288192
22075,4876,-11141118
16217,2593,-1768468479
20263,3556,844550144
27161,5791,-1642639358
25700,3886,-1244344318
26333,4025,1188528128
21277,3244,-1214820352
22339,2960,-875057151
100799,41267,1029046273
16004,2914,1633013760
21458,4346,-1739087868
18077,2497,-1164484605
18444,3811,2086105088
7368,1198,-736796672
40084,6322,5513216
75719,17682,-2083028992
0,74,160878592
21660,3555,1192677376
26116,4833,-78147580
25848,5207,307671040
19725,3105,-1693073407
17906,2218,-145473536
26675,4345,1070907392
24028,3977,-1974190080
20914,4588,-1831510016
24315,4412,1939079168
26564,4325,1905573888
24877,3843,488079360
21703,3708,-635990015
32872,9630,429314048
23143,3683,-761819135
6872,1492,295129089
26116,5082,-1118334971
14093,3479,1125601282
19853,3429,483889153
38985,8465,1423228928
32917,7606,-1793626107
36142,10370,1616334849
19401,3268,-1621655547
19342,3257,1058492417
21810,3598,1981251585
32306,5841,-1693081599
11890,2491,567783426
79613,24950,1352110080
21029,3913,-900374528
35168,7855,-640200704
40879,9536,-866680828
27154,5968,-208166912
15364,2966,-1969881088
19661,3584,626487296
63049,13668,-1101737984
25732,5029,1171763201
9739,1969,664117249
23354,3973,-921198592
32758,6985,911704064
15535,2365,-1051238398
0,116,-107728895
31116,7486,-1122537472
18635,3303,1805094914
118224,33576,-262709248
50740,13616,56066048
24826,5359,-1734909952
25636,4770,-1575731200
27113,7340,1439965184
31265,8320,1909940225
14137,2885,1716895744
29131,8486,362070016
19969,3949,-141279232
14824,4011,1679216640
23121,5026,-535560192
8514,1059,-1982545920
8234,2328,-1588211712
18628,4938,-522977280
16596,3400,-451665920
19898,4745,-1529597952
72300,22268,-1021865984
35131,10297,1012137984
16730,3986,-1693179904
16258,3677,1582669825
0,778,827813894
7312,2072,1272299520
23034,5120,-1416130560
17893,3370,-648691712
16255,5641,1704247296
19094,3960,-1772654592
15053,3390,-69767167
18160,1512,-598249467
87770,29159,-841613310
33098,13194,-405352448
15231,3388,-2041081856
21041,4712,391614464
15406,2828,-174632960
15785,2517,-698904574
33529,10324,483872772
5775,1597,257388544
